3.250000000000000000e+01 1.361157220139430279e+01 7.196999374739446731e-01
3.350000000000000000e+01 1.113733896464249717e+01 3.950746567106018792e-01
3.450000000000000000e+01 1.032313862666240567e+01 1.128217278894035669e+00
3.550000000000000000e+01 9.852018404601910362e+00 6.580303191279509578e-01
3.650000000000000000e+01 9.291826969841419981e+00 5.559786769893532155e-01
3.750000000000000000e+01 8.591394824513196582e+00 7.047704460415509242e-01
3.850000000000000000e+01 7.929777790216650857e+00 2.766142272820282244e-01
3.950000000000000000e+01 7.561175716535064595e+00 1.937702879957057533e-01
4.050000000000000000e+01 7.032052060688460671e+00 1.525310566118947275e-01
4.150000000000000000e+01 6.795053306103421065e+00 2.124081811722781377e-01
4.250000000000000000e+01 6.374898635236604605e+00 1.891509848490099122e-01
4.350000000000000000e+01 5.784589229019508672e+00 1.950305451438787141e-01
4.450000000000000000e+01 5.441918548361507568e+00 7.316051242031798574e-02
4.550000000000000000e+01 5.011818882321636970e+00 1.324758516965064692e-01
4.650000000000000000e+01 4.511795187701332921e+00 2.420156105780758016e-01
4.750000000000000000e+01 4.233831118286990325e+00 1.299568757813986120e-01
4.850000000000000000e+01 4.008867369069480269e+00 8.449943465550732724e-02
4.950000000000000000e+01 3.755413494035453326e+00 8.833875493073939378e-02
5.050000000000000000e+01 3.505439708304663782e+00 1.039463346930296489e-01
5.150000000000000000e+01 3.262468256357139218e+00 9.547371401255529133e-02
5.250000000000000000e+01 3.040328023743293251e+00 5.359206548885524224e-02
5.350000000000000000e+01 2.840347681520414724e+00 5.538479776717829262e-02
5.450000000000000000e+01 2.642590644600545602e+00 1.250101742570602359e-01
5.550000000000000000e+01 2.441470454491636133e+00 8.772177415205142936e-02
5.650000000000000000e+01 2.258493442077460500e+00 4.598535791196310674e-02
5.750000000000000000e+01 2.081922732792665265e+00 1.222375683713505939e-01
5.850000000000000000e+01 1.938239034073976796e+00 1.202033442397164587e-01
5.950000000000000000e+01 1.800239881553777899e+00 5.865993182945249823e-02
6.050000000000000000e+01 1.667178041365988683e+00 4.865023248407979867e-02
6.150000000000000000e+01 1.533229954975315223e+00 7.843239436818418009e-02
6.250000000000000000e+01 1.423110482803776833e+00 1.149104570983206230e-01
6.350000000000000000e+01 1.281061592085011469e+00 1.164825573412437976e-01
6.450000000000000000e+01 1.195909100824389171e+00 7.468917087261051080e-02
6.550000000000000000e+01 1.144116472625631431e+00 6.132588355389253371e-02
6.650000000000000000e+01 1.042482776436777669e+00 8.130097863763778576e-02
6.750000000000000000e+01 9.661853306683365616e-01 7.933753024327001857e-02
6.850000000000000000e+01 8.919246133341633964e-01 8.889556948232810174e-02
6.950000000000000000e+01 8.366200333529114630e-01 1.184608467014059280e-01
7.050000000000000000e+01 8.133416881458348513e-01 1.030119669257162363e-01
7.150000000000000000e+01 7.783248130942297394e-01 1.022015633193105594e-01
7.250000000000000000e+01 7.213737679784362200e-01 8.930669861182481684e-02
7.350000000000000000e+01 6.731400135374716598e-01 6.089408818343240021e-02
7.450000000000000000e+01 6.390615907474810342e-01 7.402312147160844402e-02
7.550000000000000000e+01 6.226170235415455778e-01 1.011017383621533733e-01
